Lat,Lng,City,Temperature,Humidity,Clouds,Wind Speed
24.255733239127878,-36.11037984094634,ponta do sol,70.23,100,92,13.09
6.277628621664164,-159.1027920434618,hilo,74.51,100,92,10.63
26.653160136336894,-76.70409518052617,marsh harbour,71.85,100,56,7.72
55.418722328912,129.92030526006698,fevralsk,-1.28,51,36,2.13
-73.11924543003965,-157.5693744015229,mataura,28.43,100,92,32.88
15.542206394627186,-168.68725081825247,kapaa,77.21,100,56,12.75
-71.96649882734474,1.672993988083931,hermanus,5.21,83,64,27.07
-46.061357129784064,-58.95390431598845,viedma,57.86,91,12,22.26
-18.46530674136298,46.20590804500557,tsiroanomandidy,79.19,94,8,4.59
-18.933588879544246,-17.597547960999577,georgetown,74.96,100,64,5.59
67.40221010322117,-50.121311785082554,qasigiannguit,12.2,78,64,2.24
35.509057775849556,173.70382261452505,nikolskoye,57.41,100,88,30.09
67.25269534868872,23.45968271096953,tornio,22.85,86,88,5.14
72.85093454774642,27.738206511149002,mehamn,28.11,100,44,13.76
14.797986379796953,-88.99631987025319,santa cruz,54.57,92,12,1.68
-15.59259459578422,-57.12773630678922,barra do bugres,72.3,94,36,4.59
-55.92257897425207,-112.25478159557389,rikitea,41.39,100,92,37.58
84.65767286227617,109.04160452429227,saskylakh,-0.65,78,80,34.34
72.04146757748475,-82.07966715546398,clyde river,3.81,63,80,3.69
-4.379403755276229,-58.052898631108704,maues,74.1,95,88,2.13
25.046128271280608,102.03664434215568,lianran,71.99,24,0,9.84
48.32311943669518,18.7424508696258,nova bana,17.6,67,90,3.13
-12.342702816869263,-96.03954158109276,puerto ayora,74.37,100,88,13.65
-57.847953255935096,68.41372929021139,saint-philippe,37.88,98,44,28.74
-86.39696461617238,-16.934706835401556,ushuaia,-38.04,0,36,14.88
-4.481661816325683,-174.82368954815672,vaitupu,83.15,98,80,15.77
-1.3486608130679087,-73.57084556485401,puerto leguizamo,74.51,98,68,2.68
-70.02676177593383,-108.72313352643906,punta arenas,23.97,100,76,16.67
-42.98586053617187,-49.6385869164927,mar del plata,65.37,100,0,20.69
-7.56820351826056,116.82099917238679,sumbawa,83.51,100,12,10.18
89.85581496721915,-168.26293616733537,barrow,-10.28,73,24,20.47
43.904131392105825,130.58724114787384,dongning,13.35,55,68,12.64
-3.4863120529993097,162.39279040713996,buala,82.2,100,80,5.82
57.375669419292336,66.12486985555631,nizhnyaya tavda,3.2,65,56,13.42
73.64630116172435,-105.3833425001216,yellowknife,-1.5,70,76,7.16
-34.444284780586564,28.412973808299768,east london,73.83,100,88,18.68
-37.935971151123894,6.607101883463173,saldanha,60.11,100,92,10.18
-85.86909126548748,132.11500160703253,hobart,-38.94,0,24,12.64
-27.967110144456697,38.10123712521164,inhambane,74.01,100,92,16.22
45.81451314552538,-124.75035469743437,astoria,45.71,100,64,14.76
26.38727897575994,123.36971332427919,juifang,66.36,100,0,17.78
-25.34617405434014,59.989329303404816,souillac,80.36,100,20,19.01
7.5955966724486075,25.883495089794735,raga,89.81,50,20,12.19
-23.38305280837335,134.3129816421668,alice springs,98.6,10,0,12.75
-40.283219269794756,-20.502939447553615,arraial do cabo,62.85,100,100,30.31
49.96077766938379,-95.42023560723446,pinawa,14.61,75,48,3.13
13.393186765809943,56.255863597068696,salalah,76.62,100,0,7.61
-34.86204221042383,136.62062654220995,port lincoln,71.63,100,92,14.2
34.21783867592502,-103.46102532750987,portales,35.22,52,1,8.05
-77.67614815244829,73.28158536004338,taolanaro,-34.94,43,0,24.05
50.24366967764715,-158.17276297667522,kodiak,39.41,100,20,14.65
14.797927657707561,-128.05713193910807,guerrero negro,74.33,100,36,25.72
30.469804547634,169.16966605255118,severo-kurilsk,60.6,100,0,5.37
68.17290222631996,78.65734383509044,tazovskiy,9.12,76,76,10.51
-47.681811838760595,-175.93494357921958,vaini,62.09,96,32,16.44
-23.160751113638867,47.66445655512669,vangaindrano,81.21,84,88,4.92
85.43665531807989,162.3489272711023,cherskiy,-2.09,73,68,21.92
56.25670267944116,0.4217561516956607,scarborough,36.12,100,48,36.01
-1.495771081222415,-130.63543967984958,atuona,76.58,99,68,13.98
-45.03201533927052,169.06511757647547,clyde,56.46,100,92,1.01
34.546864697841826,125.22627860326503,seoul,37.79,100,68,25.61
-39.57977100985068,35.00229777928601,umzimvubu,62.09,100,12,11.52
-85.49424278995234,23.869920988331017,bredasdorp,-39.08,0,12,18.01
